ticker,name,yahoo_ticker
A,Agilent Technologies Inc.,A
AAPL,Apple Inc.,AAPL
ABBV,AbbVie Inc.,ABBV
ABNB,Airbnb Inc.,ABNB
ABT,Abbott Laboratories,ABT
ACGL,Arch Capital Group Ltd.,ACGL
ACN,Accenture plc,ACN
ADBE,Adobe Inc.,ADBE
ADI,Analog Devices Inc.,ADI
ADM,Archer-Daniels-Midland Company,ADM
ADP,Automatic Data Processing Inc.,ADP
ADSK,Autodesk Inc.,ADSK
AEE,Ameren Corporation,AEE
AEP,American Electric Power Company Inc.,AEP
AES,The AES Corporation,AES
AFL,Aflac Incorporated,AFL
AIG,American International Group Inc.,AIG
AIZ,Assurant Inc.,AIZ
AJG,Arthur J. Gallagher & Co.,AJG
AKAM,Akamai Technologies Inc.,AKAM
ALB,Albemarle Corporation,ALB
ALGN,Align Technology Inc.,ALGN
ALL,The Allstate Corporation,ALL
ALLE,Allegion plc,ALLE
AMAT,Applied Materials Inc.,AMAT
AMCR,Amcor plc,AMCR
AMD,Advanced Micro Devices Inc.,AMD
AME,AMETEK Inc.,AME
AMGN,Amgen Inc.,AMGN
AMP,Ameriprise Financial Inc.,AMP
AMT,American Tower Corporation,AMT
AMZN,Amazon.com Inc.,AMZN
ANET,Arista Networks Inc.,ANET
AON,Aon plc,AON
AOS,A. O. Smith Corporation,AOS
APA,APA Corporation,APA
APD,Air Products and Chemicals Inc.,APD
APH,Amphenol Corporation,APH
APO,Apollo Global Management Inc.,APO
APP,AppLovin Corporation,APP
APTV,Aptiv PLC,APTV
ARE,Alexandria Real Estate Equities Inc.,ARE
ARES,Ares Management Corporation,ARES
ATO,Atmos Energy Corporation,ATO
AVB,AvalonBay Communities Inc.,AVB
AVGO,Broadcom Inc.,AVGO
AVY,Avery Dennison Corporation,AVY
AWK,American Water Works Company Inc.,AWK
AXON,Axon Enterprise Inc.,AXON
AXP,American Express Company,AXP
AZO,AutoZone Inc.,AZO
BA,The Boeing Company,BA
BAC,Bank of America Corporation,BAC
BALL,Ball Corporation,BALL
BAX,Baxter International Inc.,BAX
BBY,Best Buy Co. Inc.,BBY
BDX,Becton Dickinson and Company,BDX
BEN,Franklin Resources Inc.,BEN
BF.B,Brown-Forman Corporation,BF.B
BG,Bunge Global SA,BG
BIIB,Biogen Inc.,BIIB
BK,The Bank of New York Mellon Corporation,BK
BKNG,Booking Holdings Inc.,BKNG
BKR,Baker Hughes Company,BKR
BLDR,Builders FirstSource Inc.,BLDR
BLK,BlackRock Inc.,BLK
BMY,Bristol-Myers Squibb Company,BMY
BR,Broadridge Financial Solutions Inc.,BR
BRK.B,Berkshire Hathaway Inc.,BRK.B
BRO,Brown & Brown Inc.,BRO
BSX,Boston Scientific Corporation,BSX
BX,Blackstone Inc.,BX
BXP,BXP Inc.,BXP
C,Citigroup Inc.,C
CAG,Conagra Brands Inc.,CAG
CAH,Cardinal Health Inc.,CAH
CARR,Carrier Global Corporation,CARR
CAT,Caterpillar Inc.,CAT
CB,Chubb Limited,CB
CBOE,Cboe Global Markets Inc.,CBOE
CBRE,CBRE Group Inc.,CBRE
CCI,Crown Castle Inc.,CCI
CCL,Carnival Corporation & plc,CCL
CDNS,Cadence Design Systems Inc.,CDNS
CDW,CDW Corporation,CDW
CEG,Constellation Energy Corporation,CEG
CF,CF Industries Holdings Inc.,CF
CFG,Citizens Financial Group Inc.,CFG
CHD,Church & Dwight Co. Inc.,CHD
CHRW,C.H. Robinson Worldwide Inc.,CHRW
CHTR,Charter Communications Inc.,CHTR
CI,The Cigna Group,CI
CIEN,Ciena Corporation,CIEN
CINF,Cincinnati Financial Corporation,CINF
CL,Colgate-Palmolive Company,CL
CLX,The Clorox Company,CLX
CMCSA,Comcast Corporation,CMCSA
CME,CME Group Inc.,CME
CMG,Chipotle Mexican Grill Inc.,CMG
CMI,Cummins Inc.,CMI
CMS,CMS Energy Corporation,CMS
CNC,Centene Corporation,CNC
CNP,CenterPoint Energy Inc.,CNP
COF,Capital One Financial Corporation,COF
COIN,Coinbase Global Inc.,COIN
COO,The Cooper Companies Inc.,COO
COP,ConocoPhillips,COP
COR,Cencora Inc.,COR
COST,Costco Wholesale Corporation,COST
CPAY,Corpay Inc.,CPAY
CPB,The Campbell's Company,CPB
CPRT,Copart Inc.,CPRT
CPT,Camden Property Trust,CPT
CRH,CRH plc,CRH
CRL,Charles River Laboratories International Inc.,CRL
CRM,Salesforce Inc.,CRM
CRWD,CrowdStrike Holdings Inc.,CRWD
CSCO,Cisco Systems Inc.,CSCO
CSGP,CoStar Group Inc.,CSGP
CSX,CSX Corporation,CSX
CTAS,Cintas Corporation,CTAS
CTRA,Coterra Energy Inc.,CTRA
CTSH,Cognizant Technology Solutions Corporation,CTSH
CTVA,Corteva Inc.,CTVA
CVNA,Carvana Co.,CVNA
CVS,CVS Health Corporation,CVS
CVX,Chevron Corporation,CVX
D,Dominion Energy Inc.,D
DAL,Delta Air Lines Inc.,DAL
DASH,DoorDash Inc.,DASH
DD,DuPont de Nemours Inc.,DD
DDOG,Datadog Inc.,DDOG
DE,Deere & Company,DE
DECK,Deckers Outdoor Corporation,DECK
DELL,Dell Technologies Inc.,DELL
DG,Dollar General Corporation,DG
DGX,Quest Diagnostics Incorporated,DGX
DHI,D.R. Horton Inc.,DHI
DHR,Danaher Corporation,DHR
DIS,The Walt Disney Company,DIS
DLR,Digital Realty Trust Inc.,DLR
DLTR,Dollar Tree Inc.,DLTR
DOC,Healthpeak Properties Inc.,DOC
DOV,Dover Corporation,DOV
DOW,Dow Inc.,DOW
DPZ,Domino's Pizza Inc.,DPZ
DRI,Darden Restaurants Inc.,DRI
DTE,DTE Energy Company,DTE
DUK,Duke Energy Corporation,DUK
DVA,DaVita Inc.,DVA
DVN,Devon Energy Corporation,DVN
DXCM,DexCom Inc.,DXCM
EA,Electronic Arts Inc.,EA
EBAY,eBay Inc.,EBAY
ECL,Ecolab Inc.,ECL
ED,Consolidated Edison Inc.,ED
EFX,Equifax Inc.,EFX
EG,Everest Group Ltd.,EG
EIX,Edison International,EIX
EL,The Estee Lauder Companies Inc.,EL
ELV,Elevance Health Inc.,ELV
EME,EMCOR Group Inc.,EME
EMR,Emerson Electric Co.,EMR
EOG,EOG Resources Inc.,EOG
EPAM,EPAM Systems Inc.,EPAM
EQIX,Equinix Inc.,EQIX
EQR,Equity Residential,EQR
EQT,EQT Corporation,EQT
ERIE,Erie Indemnity Company,ERIE
ES,Eversource Energy,ES
ESS,Essex Property Trust Inc.,ESS
ETN,Eaton Corporation plc,ETN
ETR,Entergy Corporation,ETR
EVRG,Evergy Inc.,EVRG
EW,Edwards Lifesciences Corporation,EW
EXC,Exelon Corporation,EXC
EXE,Expand Energy Corporation,EXE
EXPD,Expeditors International of Washington Inc.,EXPD
EXPE,Expedia Group Inc.,EXPE
EXR,Extra Space Storage Inc.,EXR
F,Ford Motor Company,F
FANG,Diamondback Energy Inc.,FANG
FAST,Fastenal Company,FAST
